Root Card|Desc
titlema|-
maj00|As Card 0, the Fool lies at the beginning of the major arcana, but also somewhat apart from the other cards. In medieval courts, the court jester was someone who was not expected to follow the same rules as others. He could observe and then poke fun. This makes the Fool unpredictable and full of surprises. He reminds us of the unlimited potential and spontaneity inherent in every moment. There is a sense with this card that anything goes - nothing is certain or regular. The Fool adds the new and unfamiliar to a situation.The Fool also represents the complete faith that life is good and worthy of trust. Some might call the Fool too innocent, but his innocence sustains him and brings him joy. In readings, the Fool can signal a new beginning or change of direction - one that will guide you onto a path of adventure, wonder and personal growth. He also reminds you to keep your faith and trust your natural responses. If you are facing a decision or moment of doubt, the Fool tells you to believe in yourself and follow your heart no matter how crazy or foolish your impulses may seem.See also the Fool's Journey.
maj01|The Magician is the archetype of the active, masculine principle - the ultimate achiever. He symbolizes the power to tap universal forces and use them for creative purposes. Note his stance in the picture. He acts as a lightening rod - one arm extended up into the Divine for inspiration, the other pointing toward Earth to ground this potent energy. [note] His abilities appear magical at times because his will helps him achieve what seem to be miracles.What makes the Magician so powerful? First, he is not afraid to act. He believes in himself and is willing to put that belief on the line. He also knows what he intends to do and why. He doesn't hesitate because he understands his situation exactly. The Magician can focus with single-minded determination. As long as he remembers the divine source of his power, the Magician remains the perfect conduit for miracles. In a reading, the Magician implies that the primal forces of creativity are yours if you can claim your power and act with awareness and concentration. This card is a signal to act and act now, provided you understand exactly what you want and are committed to getting it. See also the Fool's Journey.
maj02|"The High Priestess is the guardian of the unconscious. She sits in front of the thin veil of unawareness which is all that separates us from our inner landscape. She contains within herself the secrets of these realms and offers us the silent invitation, ""Be still and know that I am God.""The High Priestess is the feminine principle that balances the masculine force of the Magician. The feminine archetype in the tarot is split between the High Priestess and the Empress. The High Priestess is the mysterious unknown that women often represent, especially in cultures that focus on the tangible and known. The Empress represents woman's role as the crucible of life. In readings, the High Priestess poses a challenge to you to go deeper - to look beyond the obvious, surface situation to what is hidden and obscure. She also asks you to recall the vastness of your potential and to remember the unlimited possibilities you hold within yourself. The High Priestess can represent a time of waiting and allowing. It is not always necessary to act to achieve your goals. Sometimes they can be realized through a stillness that gives desire a chance to flower within the fullness of time.See also the Fool's Journey."
maj03|The Empress and the High Priestess are the two halves of the female archetype in the major arcana. The Empress represents the fertile, life-giving Mother who reigns over the bounty of nature and the rhythms of the Earth. From her comes all the pleasures and joys of the senses and the abundance of new life in all its forms. The Empress encourages you to strengthen your connections with the natural world which is the ground of our being. Too often false sophistications and pleasures take us far from our roots. Let the Empress remind you to keep your feet firmly planted in the Earth.In readings the Empress can refer to any aspect of Motherhood. She can be an individual mother, but as a major arcana card, she also goes beyond the specifics of mothering to its essence - the creation of life and its sustenance through loving care and attention.The Empress can also represent lavish abundance of all kinds. She offers a cornucopia of delights, especially those of the senses - food, pleasure and beauty. She can suggest material reward, but only with the understanding that riches go with a generous and open spirit. The Empress asks you to embrace the principle of life and enjoy its bountiful goodness.See also the Fool's Journey.
maj04|The figure of the Emperor says much about the essential qualities of this card. We see a stern, commanding figure seated on a stone-slab throne. His back is straight, and his eyes meet ours directly. He is confident of his complete authority to rule.The Emperor represents structure, order and regulation - forces to balance the free-flowing, lavish abundance of the Empress. He advocates a four-square world where trains are on time, games are played by rules, and commanding officers are respected. In chaotic situations, the Emperor can indicate the need for organization. Loose ends should be tied up, and wayward elements, harnessed. In situations that are already over-controlled, he suggests the confining effect of those constraints.The Emperor can represent an encounter with authority or the assumption of power and control. As the regulator, he is often associated with legal matters, disciplinary actions, and officialdom in all its forms. He can also stand for an individual father or archetypal Father in his role as guide, protector and provider.See also the Fool's Journey.
maj05|Except in rare cases, every human grows and develops within a culture. We learn by living with others. The Hierophant represents such official learning, especially in groups. A Hierophant is someone who interprets secret knowledge. On Card 5 we see a religious figure in a formal church setting. He is wearing the elaborate vestments of his office. His task is to bring the two initiates into the church so they can take up their appointed roles.Besides churches, there are schools, clubs, teams, companies, and societies. The Hierophant represents all of these because his realm is structured groups with rules and assigned roles. Such environments emphasize belief systems - facts, rules, procedures, and ritual. Members are rewarded for following conventions. They develop a group identity. The Hierophant is one of three cards that focuses on the group. (The 3 of Cups and the 3 of Pentacles are the others.)In readings, the Hierophant often represents learning with experts or knowledgeable teachers. This card also stands for institutions and their values. The Hierophant is a symbol of the need to conform to rules or fixed situations. His appearance in a reading can show that you are struggling with a force that is not innovative, free-spirited or individual. Groups can be enriching or stifling, depending on circumstances. Sometimes we need to follow a program or embrace tradition, other times, we need to trust ourselves.See also the Fool's Journey.
maj06|The Lovers is one card that is easy to remember. Love and sex are riveting subjects, and, as you'd expect, this card represents both. The urge for union is powerful, and, in its highest form, takes us beyond ourselves. That is why an angel is blessing the bond between the man and woman on this card.In readings, Card 6 often refers to a relationship that is based on deep love - the strongest force of all. The relationship may not be sexual, although it often is or could be. More generally, the Lovers can represent the attractive force that draws any two entities together in a relationship - whether people, ideas, events, movements or groups.Card 6 can also stand for tough value choices and the questioning that goes with them. In some decks, the Lovers shows a man torn between two women - a virgin and a temptress. This rather old-fashioned triangle symbolizes the larger dilemmas we face when we are tempted between right and wrong.The Lovers can indicate a moral or ethical crossroads - a decision point where you must choose between the high road or the low road. This card can also represent your personal beliefs because to make such a decision you must know where you stand. Following your own path can mean going against those who are urging you in a direction that is wrong for you.See also the Fool's Journey.
maj07|Picture Julius Caesar riding his chariot triumphantly into Rome. He has defeated his enemies and conquered vast, new lands. This is the spirit of the Chariot. Card 7 represents the victories that are possible through willpower and self-mastery. A military image is appropriate for the Chariot because this card stands for the strengths associated with combat - discipline, grit, determination and assertiveness.The Chariot represents the positive aspects of the ego. A healthy ego is one that is strong and self-assured. It knows what it wants and how to get it. We can get annoyed at someone whose ego is too healthy, but we often turn to that person to lead us through difficult moments. We know he or she won't be wishy-washy.In readings, the Chariot often appears when hard control is or could be in evidence. At its best, hard control is not brutal, but firm and direct. It is backed up by a strong will and great confidence. The Chariot can mean self-control or control of the environment. This card also represents victory. There are many types of wins; the Chariot's is of the win-lose type. Your success comes from beating the competition to become number one. Such moments are glorious in the right circumstances.See also the Fool's Journey.
maj08|Usually we think of strength in physical terms - big arms, powerful legs - but there is also inner strength. Inner strength comes from an exercise of the heart muscle. It is perseverance, courage, resolve and composure - qualities that help us endure when times are tough. In the past, a person with inner strength was commonly said to have character; he or she could be counted on in the darkest moments. Card 8 represents this energy of quiet determination. Strength is not a flashy card, but one that is solid and reliable.Card 8 also represents patience and compassion. Getting angry is easy when events turn sour, but dealing calmly with frustration takes great strength. So does accepting others and forgiving mistakes. We need strength to mold situations softly. The Chariot controls through mastery and authority. Card 8 is more subtle, even loving. Notice how the lion (itself a symbol of strength) is being guided and tamed by the woman's gentle hands.   Card 8 will appear in a reading when its qualities are needed. It can be a reminder not to despair or give up. You have the inner strength to endure and triumph. If you are pushing too hard, you need to withdraw for the moment and be patient. If other people or circumstances are driving you crazy, remember the strength that comes with love and forbearance. These will see you through the hardest moments.See also the Fool's Journey.
maj09|"The traditional hermit is a crusty, bearded character who has withdrawn from the company of men to live a life of seclusion and hardship. Card 9 supports this understanding. The Hermit represents the desire to turn away from the getting and spending of society to focus on the inner world. He seeks answers within and knows that they will come only with quiet and solitude. There comes a point in life when we begin to question the obvious. We sense that there is a deeper reality and begin to search for it. This is mainly a solitary quest because answers do not lie in the external world, but in ourselves. The hermit on Card 9 reminds us of Diogenes, the Greek ascetic who is said to have gone out with a lantern in hand to search for an honest man. Diogenes is a symbol of the search for truth that the Hermit hopes to uncover by stripping away all diversions.In readings, the Hermit often suggests a need for time alone - a period of reflection when distractions are limited. In times of action and high energy, he stands for the still center that must be created for balance. He can also indicate that withdrawal or retreat is advised for the moment. In addition, the Hermit can represent seeking of all kinds, especially for deeper understanding or the truth of a situation. ""Seek, and ye shall find,"" we have been told, and so the Hermit stands for guidance as well. We can receive help from wise teachers, and, in turn, help others as we progress.See also the Fool's Journey."
maj10|"In Greek mythology, there are three women known as the Fates. They are responsible for spinning the destiny of each person at his or her birth. It is not surprising that the Fates are spinners because the wheel of fortune is an apt image for the elusive turns of a man's fate. This is the theme of Card 10.The Wheel of Fortune is one of the few cards in the major arcana that does not have a human figure as a focal point. This is because its center is above the realm of man - in the higher levels (clouds) where the destinies of all are woven together in the tapestry of life. The tarot recognizes that each person sets his own path in life, but is also subject to the larger cycles that include him. We experience chance events that appear to be accidents although they are part of the great plan.In readings, the Wheel of Fortune can indicate a vision or realization that strikes with great force. If you've been struggling with a problem or tough situation, this card can signal that you will find the answer if you stand back and view everything from a larger perspective.The Wheel of Fortune also represents unexpected encounters and twists of fate. You can't predict surprises; you can only be aware when one is circling around. Indeed, Card 10 often suggests wheel-like actions - changes in direction, repeating cycles and rapid movement. When the energy of the Wheel arrives, you will feel life speed up. You are caught in a cyclone that may deposit you anywhere. ""Round and round and round she goes, and where she stops, nobody knows.""See also the Fool's Journey."
maj11|On Card 11 we see the familiar figure of Justice. She has the scales of equality and impartial judgment in one hand, and the sword of decision in the other. In the tarot, Justice represents the understanding that life is ultimately fair and just. Even though the vagaries of day-to-day life tend to make us doubt this fact, Justice reminds us that there is divine balance. Notice the similarity between the Emperor and Justice. Both cards stand for universal order; the Emperor in its underlying structure, Justice, in the action of karma - cause and effect. There is a serious feel to Card 11 - the tone of the courtroom. This card refers to legal matters of all kinds, but is not restricted to them. The courts are where judgments are made and decisions rendered. Our legal system is the official arena in which we explore the principles of Justice - fairness, impartiality and the quest for truth.In readings, Justice often appears when you are concerned with doing what is right or making sure you receive your due. This card can also appear when you are feeling the impact of a past mistake or good deed. The cause you set in motion at one time is now returning to you as an effect.Sometimes Justice is a signal to do what needs to be done. A time comes when responsibilities must be accepted, and accounts settled. The past will continue to haunt you if you do not recognize your mistakes and make amends for them. You will need to weigh matters carefully and perhaps make important decisions about your future course.See also the Fool's Journey.
maj12|"The Hanged Man is one of the most mysterious cards in the tarot deck. It is simple, but complex. It attracts, but also disturbs. It contradicts itself in countless ways. The Hanged Man is unsettling because it symbolizes the action of paradox in our lives. A paradox is something that appears contradictory, and yet is true. The Hanged Man presents to us certain truths, but they are hidden in their opposites.The main lesson of the Hanged Man is that we ""control"" by letting go - we ""win"" by surrendering. The figure on Card 12 has made the ultimate surrender - to die on the cross of his own travails - yet he shines with the glory of divine understanding. He has sacrificed himself, but he emerges the victor. The Hanged Man also tells us that we can ""move forward"" by standing still. By suspending time, we can have all the time in the world.In readings, the Hanged Man reminds us that the best approach to a problem is not always the most obvious. When we most want to force our will on someone, that is when we should release. When we most want to have our own way, that is when we should sacrifice. When we most want to act, that is when we should wait. The irony is that by making these contradictory moves, we find what we are looking for.See also the Fool's Journey."
maj13|"Death! A powerful energy indeed. Who can look at the dark, skeletal figure on Card 13 and not feel uneasy? Here we see the face of our deepest fear - our greatest unknown. We recoil from Death because we think of it as annihilation. In the tarot (and in life I would suggest) Death is not a permanent end, but a transition into a new state. Life is eternal in its essence, if not in its form. To grow, to move, to live - we must ""die"" to the old to give birth to the new.It is a truism in tarot work that Card 13 rarely has anything to do with physical death. A responsible card reader never interprets Card 13 in this way because this view is too limiting. Death is not something that happens once to our bodies. It happens continually, at many levels and not just in the physical. Each moment we die to the present so the future can unfold.In readings, Death often represents an important ending that will initiate great change. It signals the end of an era; a moment when a door is closing. At such times, there may be sadness and reluctance, but also relief and a sense of completion. Death also suggests getting down to basics. Dying has a way of making you concentrate on what's important. This card reminds you to cut out the unnecessary. Death can also mean you will experience an inexorable force. Death is inevitable, and sometimes there are events that are inescapable as well. When these moments occur, the best approach is to ride your fate and see where it takes you.See also the Fool's Journey."
